variant,weight_decay,batch_size,model_seed,split_seed,shuffle_seed,original_loss,original_acc,zero_ablated_loss,zero_ablated_acc,mean_ablated_loss,mean_ablated_acc,loss_ratio_zero,loss_ratio_mean
POST,0.15,256,1235,41,43,7.372463528554363e-07,1.0,1.260029762306658e-06,1.0,1.5825652326384443e-06,1.0,1.7091027407954262,2.1465894358229036
POST,0.15,256,1235,41,44,6.367968126141932e-06,1.0,1.1614972208917607e-05,1.0,1.3142557691026013e-05,1.0,1.8239683332012218,2.0638541887596578
POST,0.15,256,1235,42,43,0.0005694135907106102,0.9996083974838257,0.0002270405093440786,0.9999216794967651,0.00032617273973301053,0.9997650384902954,0.39872688858855515,0.5728221894492495
POST,0.15,256,1235,42,44,0.00042220696923322976,0.9997650384902954,0.000333833449985832,0.9999216794967651,0.0006046756752766669,0.9997650384902954,0.790686734972914,1.4321783374983568
POST,0.15,256,1236,41,43,6.47355591354426e-06,1.0,8.126850843837019e-06,1.0,1.2215063179610297e-05,1.0,1.2553920831723508,1.8869170735133995
POST,0.15,256,1236,41,44,2.4259084966615774e-05,1.0,3.185748209943995e-05,1.0,3.4058670280501246e-05,1.0,1.313218620705634,1.4039552739673078
POST,0.15,256,1236,42,43,0.0004391125694382936,0.9997650384902954,0.0009514809353277087,0.9993734955787659,0.0009534396813251078,0.999295175075531,2.1668269176280455,2.1712876097915714
POST,0.15,256,1236,42,44,0.0001205357548315078,1.0,0.0005702976486645639,0.9997650384902954,0.00044359598541632295,0.9997650384902954,4.731356678868943,3.6802024929151385
POST,0.15,512,1234,41,43,4.677449965129199e-07,1.0,4.3956029571745603e-07,1.0,5.023267704018508e-07,1.0,0.9397434478068535,1.0739329637874078
POST,0.15,512,1234,41,44,1.863751094788313e-06,1.0,4.515254204306984e-06,1.0,4.937734956911299e-06,1.0,2.422670182157469,2.649353216059215
POST,0.15,512,1234,42,43,0.0006959851598367095,0.9998433589935303,0.0005992110818624496,0.9997650384902954,0.0007539735524915159,0.9998433589935303,0.8609538197668399,1.0833184326349883
POST,0.15,512,1234,42,44,8.257121226051822e-05,1.0,0.00012484737089835107,1.0,0.00017137164832092822,1.0,1.5119963420719618,2.0754406242727566
POST,0.15,512,1235,41,43,0.0003764345310628414,1.0,0.0004842757189180702,0.9998433589935303,0.00042471502092666924,0.9998433589935303,1.2864805934533832,1.1282573352861933
POST,0.15,512,1235,41,44,0.00010651072807377204,0.9999216794967651,0.00017361699428875,1.0,0.00013345562911126763,1.0,1.6300423199482632,1.2529782823269489
POST,0.15,512,1235,42,43,6.504588236566633e-05,1.0,0.00014497400843538344,0.9999216794967651,0.00014826111146248877,0.9999216794967651,2.2287960922781824,2.279331236203609
POST,0.15,512,1235,42,44,5.414754014054779e-07,1.0,2.035643774433993e-06,1.0,1.6350560372302425e-06,1.0,3.7594390606668084,3.0196312389929765
